Id,Sales
1,4093.43017578
2,7484.20654297
3,8942.28808594
4,7867.26953125
5,7144.15185547
6,5779.26464844
7,7337.95214844
8,7814.72460938
9,5169.53613281
10,5651.35058594
11,6753.66992188
12,7793.74804688
13,7088.17626953
14,9073.32226562
15,5615.62792969
16,4762.37548828
17,5565.79443359
18,9324.3203125
19,10682.6845703
20,9697.796875
21,7484.46337891
22,4585.91308594
23,5768.18945312
24,4191.29443359
25,7701.73925781
26,11115.7773438
27,9217.64648438
28,5700.08496094
29,5016.89746094
30,4406.04101562
31,5867.98974609
32,10174.1533203
33,6470.75
34,5398.83056641
35,5254.64794922
36,7796.30566406
37,3631.31054688
38,7309.18701172
39,4519.22021484
40,6886.61132812
41,6996.94384766
42,5336.20068359
43,7940.69677734
44,6860.81884766
45,4878.20117188
46,6603.54394531
47,7381.66455078
48,11876.6621094
49,5717.90234375
50,8145.84765625
51,6776.72509766
52,8841.83007812
53,6460.67285156
54,9171.57128906
55,4736.41699219
56,4935.51318359
57,6151.76611328
58,5827.16699219
59,8922.0546875
60,7917.46435547
61,5506.40429688
62,7353.34521484
63,6016.92871094
64,10264.2314453
65,3886.56103516
66,12606.9199219
67,4913.50146484
68,5806.59375
69,8230.55273438
70,4631.28466797
71,6430.23486328
72,6058.20214844
73,7351.29736328
74,5637.56787109
75,5609.73339844
76,7478.85449219
77,7442.875
78,8184.37402344
79,4864.27099609
80,7196.10693359
81,11205.9707031
82,6435.53613281
83,4468.18164062
84,6372.93066406
85,5827.61181641
86,5621.08886719
87,7356.30566406
88,3938.34033203
89,7997.84863281
90,5921.71435547
91,6971.41650391
92,6672.1171875
93,4070.2199707
94,5970.15380859
95,5041.90576172
96,7882.08105469
97,7782.60595703
98,5081.67578125
99,4890.25878906
100,7051.3515625
101,5826.90039062
102,6286.84765625
103,7171.47460938
104,6518.11279297
105,7507.90039062
106,5651.78173828
107,4316.28222656
108,6661.54882812
109,7894.45019531
110,7843.68310547
111,8333.8203125
112,7556.44384766
113,5596.13232422
114,8721.48046875
115,5664.52392578
116,7069.72314453
117,8828.08691406
118,6172.34960938
119,9957.26074219
120,7334.11816406
121,7638.18164062
122,5919.30859375
123,7007.3359375
124,7954.32617188
125,6408.9140625
126,3773.16430664
127,5260.76611328
128,7610.27929688
129,5455.85351562
130,4357.70996094
131,8134.0
132,6536.47900391
133,5596.32958984
134,5948.24169922
135,5310.09716797
136,7229.57666016
137,7156.89892578
138,6906.10791016
139,5676.94873047
140,4867.10205078
141,6361.27050781
142,3763.16772461
143,5982.35253906
144,5236.37548828
145,8429.15039062
146,7018.83447266
147,5929.49169922
148,11874.7939453
149,5082.23339844
150,5048.75439453
151,10107.3398438
152,6736.61425781
153,8611.89746094
154,7218.01513672
155,6020.82128906
156,6323.859375
157,5211.37158203
158,8228.23730469
159,11021.2539062
160,6162.17871094
161,3250.96020508
162,4524.52587891
163,8965.42285156
164,8563.43261719
165,6110.28710938
166,6844.40039062
167,4800.20214844
168,5303.43603516
169,3338.89038086
170,5014.83056641
171,6184.74316406
172,6994.66162109
173,6788.95947266
174,4369.28564453
175,7614.41748047
176,9302.76171875
177,7566.84423828
178,4809.51074219
179,9049.85742188
180,10438.3427734
181,5958.09375
182,7860.58642578
183,5556.07177734
184,6381.77539062
185,4277.20166016
186,6882.51367188
187,5454.95849609
188,8951.0859375
189,7192.70361328
190,8093.55712891
191,7556.90527344
192,5509.25146484
193,8633.47753906
194,18252.3027344
195,9953.97460938
196,5522.00439453
197,2960.02539062
198,6004.97460938
199,8224.34570312
200,5638.20751953
201,12309.0224609
202,18678.5585938
203,4081.48339844
204,5218.47949219
205,9514.46972656
206,4919.48095703
207,8600.77539062
208,6775.82714844
209,7149.87158203
210,4778.96728516
211,6285.82226562
212,5584.71582031
213,7318.87695312
214,9117.67773438
215,6162.51953125
216,5822.63330078
217,7064.02734375
218,5049.74169922
219,4842.73388672
220,7686.68017578
221,5883.75
222,5719.65332031
223,7106.46728516
224,6189.38134766
225,5913.09570312
226,7168.88232422
227,7184.12646484
228,8485.81835938
229,6749.27783203
230,7581.87109375
231,5708.52929688
232,3782.78662109
233,6436.86865234
234,6780.02929688
235,6162.77832031
236,4499.41699219
237,8480.71289062
238,7021.43261719
239,9098.50585938
240,6856.97851562
241,5832.06591797
242,5310.1328125
243,4493.19384766
244,9868.48242188
245,5037.01708984
246,7348.63378906
247,14845.78125
248,7344.15625
249,8048.0625
250,5554.52978516
251,4519.42285156
252,6958.49511719
253,4030.98999023
254,5555.95507812
255,10656.2470703
256,5375.52734375
257,15628.5634766
258,13246.7988281
259,4867.09277344
260,6818.27197266
261,5673.98193359
262,6513.99853516
263,5517.68701172
264,10354.3964844
265,7854.64355469
266,9927.05859375
267,4632.76904297
268,6985.26757812
269,5093.23046875
270,7923.30371094
271,6644.19335938
272,6143.25830078
273,6227.85058594
274,6288.07714844
275,8105.17578125
276,9696.45605469
277,5693.84667969
278,10044.8828125
279,6397.70068359
280,9651.00585938
281,5717.296875
282,5240.62744141
283,5450.55322266
284,10062.3818359
285,6231.71289062
286,7954.63720703
287,6546.07519531
288,8798.1875
289,4307.55810547
290,8360.10058594
291,6913.95117188
292,3989.68994141
293,13494.734375
294,16900.1660156
295,7040.65234375
296,6692.20019531
297,9877.390625
298,10164.7832031
299,11153.3925781
300,5687.18652344
301,7377.56103516
302,5713.90625
303,8068.28417969
304,4020.01538086
305,6032.47900391
306,5635.78271484
307,5688.70556641
308,7413.71972656
309,5299.19824219
310,4862.2578125
311,6978.03564453
312,4042.78881836
313,4695.45458984
314,6317.49267578
315,6481.09619141
316,8785.19824219
317,7872.44140625
318,7296.60058594
319,6077.10986328
320,6153.84375
321,11524.4296875
322,7405.83935547
323,5360.32568359
324,4759.35107422
325,7793.76318359
326,4502.19873047
327,6870.18310547
328,3440.00366211
329,5378.75878906
330,8113.42089844
331,5964.68408203
332,5346.41064453
333,8771.03222656
334,9575.95703125
335,12021.796875
336,5979.48876953
337,9494.6796875
338,3136.54248047
339,5020.72705078
340,6316.21533203
341,4461.26123047
342,7782.64306641
343,4932.6328125
344,5003.60205078
345,8634.13671875
346,10774.6035156
347,9449.58105469
348,5469.65136719
349,4937.27441406
350,8057.36376953
351,6864.56298828
352,6079.45800781
353,5062.9375
354,6815.06640625
355,9795.2265625
356,4261.27050781
357,6441.1796875
358,7767.86279297
359,8123.17724609
360,13259.8183594
361,5180.65283203
362,13697.2382812
363,6452.90673828
364,5038.97314453
365,3937.71655273
366,5853.19287109
367,6266.83935547
368,5535.42578125
369,7200.30908203
370,4911.95996094
371,4773.17236328
372,7180.1875
373,3458.35058594
374,7449.99169922
375,6767.12060547
376,7643.15917969
377,8644.6015625
378,5559.33203125
379,8738.08300781
380,6108.53271484
381,5395.87060547
382,5715.42675781
383,5027.40283203
384,10248.453125
385,6451.54638672
386,4816.65917969
387,7220.72119141
388,8613.12988281
389,7159.81445312
390,6142.43212891
391,7915.10839844
392,5462.61230469
393,5746.00439453
394,6071.51904297
395,8305.18359375
396,6323.29833984
397,6090.77636719
398,5822.17822266
399,5058.0234375
400,3671.46411133
401,5724.61474609
402,8551.58984375
403,8586.734375
404,10145.2763672
405,11067.5283203
406,8200.55664062
407,5719.42431641
408,5113.39794922
409,10534.8291016
410,10141.484375
411,7663.32080078
412,8456.46484375
413,7927.11328125
414,5818.02539062
415,4022.37060547
416,10355.6318359
417,6642.53955078
418,6232.05175781
419,6126.49316406
420,3144.48779297
421,11804.3876953
422,6032.60009766
423,5510.43408203
424,4822.40576172
425,5630.15185547
426,6352.31494141
